chr	gene_start	gene_end	gene_id	gene_type	gene_name
16	19523811	19553408	ENSG00000103540.16	protein_coding	CCP110
16	19555240	19701163	ENSG00000103544.14	protein_coding	C16orf62
16	19694035	19694428	ENSG00000276571.1	antisense	AC002550.6
16	19701934	19717694	ENSG00000103550.13	protein_coding	KNOP1
16	19715038	19715383	ENSG00000261312.1	antisense	AC002550.5
16	19716456	19856690	ENSG00000174628.16	protein_coding	IQCK
16	19761239	19766099	ENSG00000261195.1	antisense	CTD-2380F24.1
16	19819504	19819628	ENSG00000261939.1	processed_pseudogene	LARP7P2
16	19858468	19886167	ENSG00000167191.11	protein_coding	GPRC5B
16	20031485	20073917	ENSG00000180269.7	protein_coding	GPR139
16	20155648	20158391	ENSG00000277211.1	processed_pseudogene	RP11-204E4.4
16	20208925	20209525	ENSG00000263253.1	lincRNA	RP11-204E4.3
16	20238972	20239247	ENSG00000227624.2	processed_pseudogene	SNRPEP3
16	20309572	20327808	ENSG00000169347.16	protein_coding	GP2
16	20333052	20356301	ENSG00000169344.15	protein_coding	UMOD
16	20359170	20404737	ENSG00000169340.9	protein_coding	PDILT
16	20385957	20391164	ENSG00000263237.1	antisense	RP11-429K17.1
16	20409534	20441249	ENSG00000183549.10	protein_coding	ACSM5
16	20440266	20447000	ENSG00000262995.1	antisense	CTD-2194A8.2
16	20451461	20487667	ENSG00000183747.11	protein_coding	ACSM2A
16	20487702	20489659	ENSG00000280306.1	TEC	CTD-3076M17.1
16	20536226	20576427	ENSG00000066813.14	protein_coding	ACSM2B
16	20580999	20586549	ENSG00000260201.2	lincRNA	RP11-143N13.2
16	20586641	20607107	ENSG00000260762.1	unprocessed_pseudogene	ACSM5P1
16	20610243	20796124	ENSG00000005187.11	protein_coding	ACSM3
16	20616409	20616532	ENSG00000275315.1	unprocessed_pseudogene	RP11-143N13.4
16	20618205	20620758	ENSG00000274730.1	unprocessed_pseudogene	RP11-143N13.3
16	20623237	20698890	ENSG00000166743.9	protein_coding	ACSM1
16	20702816	20742084	ENSG00000066654.13	protein_coding	THUMPD1
16	20711473	20732990	ENSG00000283399.1	unprocessed_pseudogene	AC004381.8
16	20743663	20766620	ENSG00000260510.1	antisense	AC004381.7
16	20780193	20896381	ENSG00000196678.13	protein_coding	ERI2
16	20784509	20784615	ENSG00000200893.1	snRNA	RNU6-944P
16	20806677	20849668	ENSG00000005189.19	protein_coding	AC004381.6
16	20823443	20823537	ENSG00000275908.1	snRNA	U4atac
16	20854925	20868980	ENSG00000188215.9	protein_coding	DCUN1D3
16	20899868	20925006	ENSG00000102897.9	protein_coding	LYRM1
16	20933111	21159441	ENSG00000158486.13	protein_coding	DNAH3
16	21129220	21130108	ENSG00000263331.1	antisense	CTC-508F8.1
16	21158377	21180616	ENSG00000011638.10	protein_coding	TMEM159
16	21194847	21205977	ENSG00000262983.1	antisense	AF001550.7
16	21197450	21214510	ENSG00000103310.10	protein_coding	ZP2
16	21233665	21253845	ENSG00000175311.6	protein_coding	ANKS4B
16	21238874	21303083	ENSG00000103316.10	protein_coding	CRYM
16	21299903	21300506	ENSG00000283421.1	unitary_pseudogene	AF001550.9
16	21300849	21318591	ENSG00000189149.11	bidirectional_promoter_lncRNA	CRYM-AS1
16	21338456	21339037	ENSG00000283512.1	unprocessed_pseudogene	CTD-2547E10.6
16	21347139	21352138	ENSG00000257403.2	unprocessed_pseudogene	CTD-2547E10.3
16	21376648	21386064	ENSG00000158482.10	unprocessed_pseudogene	SNX29P1
16	21401089	21401198	ENSG00000276548.1	unprocessed_pseudogene	CTD-2547E10.5
16	21402237	21440719	ENSG00000169246.16	protein_coding	NPIPB3
16	21446683	21520444	ENSG00000180747.15	transcribed_unprocessed_pseudogene	SMG1P3
16	21506049	21506135	ENSG00000265462.1	miRNA	MIR3680-1
16	21526824	21531141	ENSG00000273956.1	lincRNA	CTB-31N19.5
16	21532945	21550373	ENSG00000257639.1	unprocessed_pseudogene	CTB-31N19.2
16	21538487	21538794	ENSG00000271609.1	processed_pseudogene	CTB-31N19.4
16	21587627	21587864	ENSG00000252798.1	scaRNA	SCARNA6
16	21597218	21657473	ENSG00000197006.13	protein_coding	METTL9
16	21626742	21627569	ENSG00000261596.2	sense_intronic	CTB-31N19.3
16	21639537	21652660	ENSG00000140749.8	protein_coding	IGSF6
16	21642054	21642160	ENSG00000207248.1	snRNA	RNU6-1005P
16	21642294	21642400	ENSG00000207042.1	snRNA	RNU6-196P
16	21678514	21760729	ENSG00000155719.16	protein_coding	OTOA
16	21794095	21795759	ENSG00000260306.1	lincRNA	RP11-645C24.5
16	21796106	21820410	ENSG00000248124.7	transcribed_unprocessed_pseudogene	RRN3P1
16	21833516	21833621	ENSG00000276721.1	unprocessed_pseudogene	RP11-645C24.6
16	21834569	21866308	ENSG00000185864.16	protein_coding	NPIPB4
16	21879773	21919156	ENSG00000185710.9	transcribed_unprocessed_pseudogene	SMG1P4
16	21938865	21944987	ENSG00000257408.2	transcribed_unprocessed_pseudogene	RP11-645C24.4
16	21950218	21951708	ENSG00000274460.1	processed_transcript	CTD-2649C14.2
16	21952660	21983660	ENSG00000140740.10	protein_coding	UQCRC2
16	21983865	22001110	ENSG00000155714.13	protein_coding	PDZD9
16	21998310	21999656	ENSG00000260395.1	processed_pseudogene	CTD-2649C14.1
16	22007480	22008062	ENSG00000275445.1	antisense	CTD-2649C14.3
16	22008209	22087534	ENSG00000185716.11	protein_coding	C16orf52
16	22085799	22092231	ENSG00000260277.1	antisense	RP11-101E7.2
16	22092540	22156966	ENSG00000175267.14	protein_coding	VWA3A
16	22165583	22191754	ENSG00000183921.7	protein_coding	SDR42E2
16	22206282	22288390	ENSG00000103319.11	protein_coding	EEF2K
16	22288733	22288738	ENSG00000261113.1	antisense	RP11-141O15.1
16	22297375	22335103	ENSG00000058600.15	protein_coding	POLR3E
16	22345936	22433665	ENSG00000140743.7	protein_coding	CDR2
16	22365121	22369047	ENSG00000260635.1	antisense	RP11-21M24.3
16	22374859	22378180	ENSG00000260790.1	antisense	RP11-21M24.2
16	22382436	22407428	ENSG00000230872.1	unitary_pseudogene	MFSD13B
16	22418672	22437584	ENSG00000257122.5	transcribed_unprocessed_pseudogene	RRN3P3
16	22437716	22492220	ENSG00000237296.9	transcribed_unprocessed_pseudogene	SMG1P1
16	22504851	22536521	ENSG00000243716.10	protein_coding	NPIPB5
16	22537478	22537584	ENSG00000277041.1	unprocessed_pseudogene	RP11-368J21.4
16	22545698	22576865	ENSG00000257838.5	transcribed_unprocessed_pseudogene	RP11-368J21.3
16	22610531	22612196	ENSG00000260973.1	lincRNA	RP11-105C19.2
16	22612543	22613483	ENSG00000260905.1	lincRNA	RP11-105C19.1
16	22806289	22813680	ENSG00000283213.1	lincRNA	CTC-591M7.1
16	22814177	22916338	ENSG00000122254.6	protein_coding	HS3ST2
